GDAY_DS,T_ID,W,L,D,누적승률
20200820LGWO,WO,54,36,0,0.6
20200821LGWO,WO,54,37,0,0.5934065934065934
20200822HTWO,WO,55,37,0,0.5978260869565217
20200823HTWO,WO,55,38,0,0.5913978494623656
20200825WOKT,WO,56,38,0,0.5957446808510638
20200826WOKT,WO,56,39,0,0.5894736842105263
20200827WOLT,WO,57,39,0,0.59375
20200828WOLT,WO,58,39,0,0.5979381443298969
20200829SSWO,WO,58,40,0,0.5918367346938775
20200830SSWO,WO,59,40,0,0.5959595959595959
20200901NCWO,WO,59,41,0,0.59
20200902NCWO,WO,60,41,0,0.594059405940594
20200903WOHH,WO,61,41,0,0.5980392156862745
20200904WOHH,WO,61,42,0,0.5922330097087378
20200905KTWO,WO,61,43,0,0.5865384615384616
20200906KTWO,WO,61,44,0,0.580952380952381
20200908WOSK,WO,62,44,0,0.5849056603773585
20200909WOSK,WO,63,44,0,0.5887850467289719
20200910WOLG,WO,63,45,0,0.5833333333333334
20200911WOLG,WO,64,45,0,0.5871559633027523
20200912OBWO,WO,65,45,0,0.5909090909090909
20200913OBWO,WO,65,45,1,0.5909090909090909
20200915LTWO,WO,65,46,1,0.5855855855855856
20200916LTWO,WO,65,47,1,0.5803571428571429
20200917HHWO,WO,66,47,1,0.584070796460177
20200918HHWO,WO,66,48,1,0.5789473684210527
20200919WOSS,WO,67,48,1,0.5826086956521739
20200920WOSS,WO,67,49,1,0.5775862068965517
20200922WOHT,WO,68,49,1,0.5811965811965812
20200923WOHT,WO,69,49,1,0.5847457627118644
20200924SKWO,WO,70,49,1,0.5882352941176471
20200925SKWO,WO,70,50,1,0.5833333333333334
20200926WOOB,WO,70,51,1,0.5785123966942148
20200927WOOB,WO,71,51,1,0.5819672131147541
20200927WOOB,WO,71,52,1,0.5772357723577236
20200505LTKT,KT,0,1,0,0.0
20200506LTKT,KT,0,2,0,0.0
20200507LTKT,KT,0,3,0,0.0
20200508KTOB,KT,1,3,0,0.25
20200510KTOB,KT,1,4,0,0.2
20200512KTNC,KT,1,5,0,0.16666666666666666
20200513KTNC,KT,1,6,0,0.14285714285714285
20200514KTNC,KT,1,7,0,0.125
20200515SSKT,KT,2,7,0,0.2222222222222222
20200516SSKT,KT,3,7,0,0.3
20200517SSKT,KT,4,7,0,0.36363636363636365
20200519HHKT,KT,5,7,0,0.4166666666666667
20200520HHKT,KT,6,7,0,0.46153846153846156
20200521HHKT,KT,6,8,0,0.42857142857142855
20200522KTLG,KT,6,9,0,0.4
20200523KTLG,KT,7,9,0,0.4375
20200524KTLG,KT,7,10,0,0.4117647058823529
20200526HTKT,KT,7,11,0,0.3888888888888889
20200527HTKT,KT,8,11,0,0.42105263157894735
20200528HTKT,KT,9,11,0,0.45
20200529KTWO,KT,9,12,0,0.42857142857142855
20200530KTWO,KT,9,13,0,0.4090909090909091
20200531KTWO,KT,10,13,0,0.43478260869565216
20200602OBKT,KT,10,14,0,0.4166666666666667
20200603OBKT,KT,11,14,0,0.44
20200604OBKT,KT,11,15,0,0.4230769230769231
20200605KTLT,KT,11,16,0,0.4074074074074074
20200606KTLT,KT,11,17,0,0.39285714285714285
20200607KTLT,KT,11,18,0,0.3793103448275862
20200609HTKT,KT,11,19,0,0.36666666666666664
20200610HTKT,KT,11,20,0,0.3548387096774194
20200611HTKT,KT,12,20,0,0.375
20200613KTSS,KT,12,21,0,0.36363636363636365
20200613KTSS,KT,13,21,0,0.38235294117647056
20200614KTSS,KT,13,22,0,0.37142857142857144
20200616KTSK,KT,14,22,0,0.3888888888888889
20200617KTSK,KT,15,22,0,0.40540540540540543
20200618KTSK,KT,16,22,0,0.42105263157894735
20200619LTKT,KT,17,22,0,0.4358974358974359
20200620LTKT,KT,17,23,0,0.425
20200621LTKT,KT,18,23,0,0.43902439024390244
20200623NCKT,KT,18,24,0,0.42857142857142855
20200625NCKT,KT,18,25,0,0.4186046511627907
20200625NCKT,KT,19,25,0,0.4318181818181818
20200626KTHH,KT,19,26,0,0.4222222222222222
20200627KTHH,KT,20,26,0,0.43478260869565216
20200628KTHH,KT,21,26,0,0.44680851063829785
20200630KTLG,KT,21,27,0,0.4375
20200701KTLG,KT,22,27,0,0.4489795918367347
20200702KTLG,KT,23,27,0,0.46
20200703WOKT,KT,24,27,0,0.47058823529411764
20200704WOKT,KT,24,28,0,0.46153846153846156
20200705WOKT,KT,25,28,0,0.4716981132075472
20200707KTHT,KT,26,28,0,0.48148148148148145
20200708KTHT,KT,27,28,0,0.4909090909090909
20200709KTHT,KT,27,29,0,0.48214285714285715
20200710SSKT,KT,28,29,0,0.49122807017543857
20200711SSKT,KT,29,29,0,0.5
20200714HHKT,KT,30,29,0,0.5084745762711864
20200715HHKT,KT,30,30,0,0.5
20200716HHKT,KT,31,30,0,0.5081967213114754
20200717KTNC,KT,31,30,1,0.5081967213114754
20200718KTNC,KT,31,31,1,0.5
20200719KTNC,KT,31,32,1,0.49206349206349204
20200721LGKT,KT,32,32,1,0.5
20200724NCKT,KT,32,33,1,0.49230769230769234
20200725NCKT,KT,33,33,1,0.5
20200726NCKT,KT,34,33,1,0.5074626865671642
20200730KTHT,KT,35,33,1,0.5147058823529411
20200731SKKT,KT,36,33,1,0.5217391304347826
20200801SKKT,KT,37,33,1,0.5285714285714286
20200804KTWO,KT,38,33,1,0.5352112676056338
20200805KTWO,KT,38,34,1,0.5277777777777778
20200806KTWO,KT,38,35,1,0.5205479452054794
20200809KTHH,KT,39,35,1,0.527027027027027
20200811SKKT,KT,40,35,1,0.5333333333333333
20200812SKKT,KT,40,36,1,0.5263157894736842
20200813SKKT,KT,40,37,1,0.5194805194805194
20200814KTOB,KT,41,37,1,0.5256410256410257
20200815KTOB,KT,41,38,1,0.5189873417721519
20200816KTOB,KT,42,38,1,0.525
20200818KTSS,KT,43,38,1,0.5308641975308642
20200819KTSS,KT,44,38,1,0.5365853658536586
20200820KTHH,KT,45,38,1,0.5421686746987951
20200821KTHH,KT,45,39,1,0.5357142857142857
20200823NCKT,KT,46,39,1,0.5411764705882353
20200824NCKT,KT,47,39,1,0.5465116279069767
20200825WOKT,KT,47,40,1,0.5402298850574713
20200826WOKT,KT,48,40,1,0.5454545454545454
20200827KTLG,KT,48,41,1,0.5393258426966292
20200828KTLG,KT,48,42,1,0.5333333333333333
20200830KTHT,KT,48,43,1,0.5274725274725275
20200830KTHT,KT,49,43,1,0.532608695652174
20200901LTKT,KT,50,43,1,0.5376344086021505
20200903SKKT,KT,51,43,1,0.5425531914893617
20200904SKKT,KT,52,43,1,0.5473684210526316
20200904SKKT,KT,53,43,1,0.5520833333333334
20200905KTWO,KT,54,43,1,0.5567010309278351
20200906KTWO,KT,55,43,1,0.5612244897959183
20200908KTOB,KT,55,44,1,0.5555555555555556
20200909KTOB,KT,56,44,1,0.56
20200910KTNC,KT,56,45,1,0.5544554455445545
20200911KTNC,KT,56,46,1,0.5490196078431373
20200912HHKT,KT,57,46,1,0.5533980582524272
20200913HHKT,KT,58,46,1,0.5576923076923077
20200915SSKT,KT,58,47,1,0.5523809523809524
20200916SSKT,KT,59,47,1,0.5566037735849056
20200917OBKT,KT,60,47,1,0.5607476635514018
20200918OBKT,KT,61,47,1,0.5648148148148148
20200919KTSK,KT,62,47,1,0.5688073394495413
20200920KTSK,KT,63,47,1,0.5727272727272728
20200922KTLT,KT,63,48,1,0.5675675675675675
20200923KTLT,KT,64,48,1,0.5714285714285714
20200924HTKT,KT,64,49,1,0.5663716814159292
20200925HTKT,KT,65,49,1,0.5701754385964912
20200926LGKT,KT,65,50,1,0.5652173913043478
20200927LGKT,KT,66,50,1,0.5689655172413793
20200505HHSK,SK,0,1,0,0.0
20200506HHSK,SK,1,1,0,0.5
20200507HHSK,SK,1,2,0,0.3333333333333333
20200508SKLT,SK,1,3,0,0.25
20200510SKLT,SK,1,4,0,0.2
20200512SKLG,SK,1,5,0,0.16666666666666666
20200513SKLG,SK,1,6,0,0.14285714285714285
20200514SKLG,SK,1,7,0,0.125
20200515NCSK,SK,1,8,0,0.1111111111111111
20200516NCSK,SK,1,9,0,0.1
20200517NCSK,SK,1,10,0,0.09090909090909091
20200519SKWO,SK,1,11,0,0.08333333333333333
20200520SKWO,SK,2,11,0,0.15384615384615385
20200521SKWO,SK,2,12,0,0.14285714285714285
20200522HTSK,SK,2,13,0,0.13333333333333333
20200523HTSK,SK,2,14,0,0.125
20200524HTSK,SK,3,14,0,0.17647058823529413
20200526SKOB,SK,3,15,0,0.16666666666666666
20200527SKOB,SK,3,16,0,0.15789473684210525
20200528SKOB,SK,4,16,0,0.2
20200529HHSK,SK,5,16,0,0.23809523809523808
20200530HHSK,SK,6,16,0,0.2727272727272727
20200531HHSK,SK,7,16,0,0.30434782608695654
20200602SKNC,SK,8,16,0,0.3333333333333333
20200603SKNC,SK,8,17,0,0.32
20200604SKNC,SK,8,18,0,0.3076923076923077
20200605SSSK,SK,9,18,0,0.3333333333333333
20200606SSSK,SK,10,18,0,0.35714285714285715
20200607SSSK,SK,10,19,0,0.3448275862068966
20200609SKLG,SK,11,19,0,0.36666666666666664
20200611SKLG,SK,11,20,0,0.3548387096774194
20200611SKLG,SK,11,21,0,0.34375
20200612HTSK,SK,11,22,0,0.3333333333333333
20200613HTSK,SK,11,23,0,0.3235294117647059
20200614HTSK,SK,12,23,0,0.34285714285714286
20200616KTSK,SK,12,24,0,0.3333333333333333
20200617KTSK,SK,12,25,0,0.32432432432432434
20200618KTSK,SK,12,26,0,0.3157894736842105
20200619SKWO,SK,12,27,0,0.3076923076923077
20200620SKWO,SK,12,28,0,0.3
20200621SKWO,SK,12,29,0,0.2926829268292683
20200623OBSK,SK,12,30,0,0.2857142857142857
20200625OBSK,SK,13,30,0,0.3023255813953488
20200625OBSK,SK,13,31,0,0.29545454545454547
20200626LGSK,SK,14,31,0,0.3111111111111111
20200627LGSK,SK,14,32,0,0.30434782608695654
20200628LGSK,SK,14,33,0,0.2978723404255319
20200630SKSS,SK,14,34,0,0.2916666666666667
20200701SKSS,SK,14,35,0,0.2857142857142857
20200702SKSS,SK,14,36,0,0.28
20200703SKLT,SK,15,36,0,0.29411764705882354
20200704SKLT,SK,15,37,0,0.28846153846153844
20200705SKLT,SK,16,37,0,0.3018867924528302
20200707NCSK,SK,16,38,0,0.2962962962962963
20200708NCSK,SK,17,38,0,0.3090909090909091
20200709NCSK,SK,17,39,0,0.30357142857142855
20200710SKHH,SK,17,40,0,0.2982456140350877
20200711SKHH,SK,18,40,0,0.3103448275862069
20200713SKHH,SK,18,41,0,0.3050847457627119
20200714SKOB,SK,19,41,0,0.31666666666666665
20200715SKOB,SK,19,42,0,0.3114754098360656
20200716SKOB,SK,19,43,0,0.3064516129032258
20200717WOSK,SK,20,43,0,0.31746031746031744
20200718WOSK,SK,20,44,0,0.3125
20200719WOSK,SK,21,44,0,0.3230769230769231
20200721LTSK,SK,22,44,0,0.3333333333333333
20200724SKHH,SK,23,44,0,0.34328358208955223
20200726SKHH,SK,24,44,0,0.35294117647058826
20200727SKHH,SK,24,44,1,0.35294117647058826
20200728LGSK,SK,24,45,1,0.34782608695652173
20200729LGSK,SK,24,46,1,0.34285714285714286
20200730LGSK,SK,24,47,1,0.3380281690140845
20200731SKKT,SK,24,48,1,0.3333333333333333
20200801SKKT,SK,24,49,1,0.3287671232876712
20200804LTSK,SK,24,50,1,0.32432432432432434
20200806LTSK,SK,24,51,1,0.32
20200807SSSK,SK,24,52,1,0.3157894736842105
20200808SSSK,SK,25,52,1,0.3246753246753247
20200811SKKT,SK,25,53,1,0.32051282051282054
20200812SKKT,SK,26,53,1,0.3291139240506329
20200813SKKT,SK,27,53,1,0.3375
20200814SKHT,SK,27,54,1,0.3333333333333333
20200815SKHT,SK,27,55,1,0.32926829268292684
20200816SKHT,SK,27,56,1,0.3253012048192771
20200818HHSK,SK,28,56,1,0.3333333333333333
20200819HHSK,SK,29,56,1,0.3411764705882353
20200820SSSK,SK,29,57,1,0.3372093023255814
20200821SSSK,SK,30,57,1,0.3448275862068966
20200822OBSK,SK,30,58,1,0.3409090909090909
20200823OBSK,SK,30,59,1,0.33707865168539325
20200825SKLT,SK,31,59,1,0.34444444444444444
20200826SKLT,SK,31,60,1,0.34065934065934067
20200827HTSK,SK,32,60,1,0.34782608695652173
20200828HTSK,SK,32,61,1,0.34408602150537637
20200829SKNC,SK,32,62,1,0.3404255319148936
20200830SKNC,SK,32,63,1,0.3368421052631579
20200901LGSK,SK,32,64,1,0.3333333333333333
20200903SKKT,SK,32,65,1,0.32989690721649484
20200904SKKT,SK,32,66,1,0.32653061224489793
20200904SKKT,SK,32,67,1,0.32323232323232326
20200905SKOB,SK,32,68,1,0.32
20200906SKOB,SK,32,69,1,0.31683168316831684
20200908WOSK,SK,32,70,1,0.3137254901960784
20200909WOSK,SK,32,71,1,0.3106796116504854
20200910SKHH,SK,33,71,1,0.3173076923076923
20200911SKHH,SK,34,71,1,0.3238095238095238
20200912LTSK,SK,35,71,1,0.330188679245283
20200913LTSK,SK,36,71,1,0.3364485981308411
20200915SKHT,SK,37,71,1,0.3425925925925926
20200916SKHT,SK,38,71,1,0.3486238532110092
20200917NCSK,SK,38,72,1,0.34545454545454546
20200918NCSK,SK,38,73,1,0.34234234234234234
20200919KTSK,SK,38,74,1,0.3392857142857143
20200920KTSK,SK,38,75,1,0.336283185840708
20200922SKLG,SK,38,76,1,0.3333333333333333
20200923SKLG,SK,38,77,1,0.33043478260869563
20200924SKWO,SK,38,78,1,0.3275862068965517
20200925SKWO,SK,39,78,1,0.3333333333333333
20200926SKSS,SK,39,79,1,0.3305084745762712
20200927SKSS,SK,40,79,1,0.33613445378151263
20200505WOHT,HT,0,1,0,0.0
20200506WOHT,HT,0,2,0,0.0
20200507WOHT,HT,1,2,0,0.3333333333333333
20200508HTSS,HT,1,3,0,0.25
20200509HTSS,HT,1,4,0,0.2
20200510HTSS,HT,2,4,0,0.3333333333333333
20200512HTHH,HT,3,4,0,0.42857142857142855
20200513HTHH,HT,4,4,0,0.5
20200514HTHH,HT,4,5,0,0.4444444444444444
20200515OBHT,HT,4,6,0,0.4
20200516OBHT,HT,5,6,0,0.45454545454545453
20200517OBHT,HT,5,7,0,0.4166666666666667
20200519LTHT,HT,6,7,0,0.46153846153846156
20200520LTHT,HT,7,7,0,0.5
20200521LTHT,HT,8,7,0,0.5333333333333333
20200522HTSK,HT,9,7,0,0.5625
20200523HTSK,HT,10,7,0,0.5882352941176471
20200524HTSK,HT,10,8,0,0.5555555555555556
20200526HTKT,HT,11,8,0,0.5789473684210527
20200527HTKT,HT,11,9,0,0.55
20200528HTKT,HT,11,10,0,0.5238095238095238
20200529LGHT,HT,11,11,0,0.5
20200530LGHT,HT,12,11,0,0.5217391304347826
20200531LGHT,HT,12,12,0,0.5
20200602LTHT,HT,13,12,0,0.52
20200603LTHT,HT,14,12,0,0.5384615384615384
20200604LTHT,HT,15,12,0,0.5555555555555556
20200605HTOB,HT,15,13,0,0.5357142857142857
20200606HTOB,HT,15,14,0,0.5172413793103449
20200607HTOB,HT,15,15,0,0.5
20200609HTKT,HT,16,15,0,0.5161290322580645
20200610HTKT,HT,17,15,0,0.53125
20200611HTKT,HT,17,16,0,0.5151515151515151
20200612HTSK,HT,18,16,0,0.5294117647058824
20200613HTSK,HT,19,16,0,0.5428571428571428
20200614HTSK,HT,19,17,0,0.5277777777777778
20200616NCHT,HT,20,17,0,0.5405405405405406
20200617NCHT,HT,21,17,0,0.5526315789473685
20200619SSHT,HT,22,17,0,0.5641025641025641
20200620SSHT,HT,23,17,0,0.575
20200621SSHT,HT,23,18,0,0.5609756097560976
20200623HTLT,HT,23,19,0,0.5476190476190477
20200626HTWO,HT,24,19,0,0.5581395348837209
20200627HTWO,HT,24,20,0,0.5454545454545454
20200628HTWO,HT,24,21,0,0.5333333333333333
20200701HHHT,HT,25,21,0,0.5434782608695652
20200702HHHT,HT,26,21,0,0.5531914893617021
20200703HTNC,HT,27,21,0,0.5625
20200704HTNC,HT,27,22,0,0.5510204081632653
20200705HTNC,HT,27,23,0,0.54
20200707KTHT,HT,27,24,0,0.5294117647058824
20200708KTHT,HT,27,25,0,0.5192307692307693
20200709KTHT,HT,28,25,0,0.5283018867924528
20200710WOHT,HT,29,25,0,0.5370370370370371
20200711WOHT,HT,30,25,0,0.5454545454545454
20200713WOHT,HT,31,25,0,0.5535714285714286
20200714HTSS,HT,31,26,0,0.543859649122807
20200715HTSS,HT,32,26,0,0.5517241379310345
20200716HTSS,HT,32,27,0,0.5423728813559322
20200717OBHT,HT,33,27,0,0.55
20200718OBHT,HT,33,28,0,0.5409836065573771
20200719OBHT,HT,33,29,0,0.532258064516129
20200721HTHH,HT,34,29,0,0.5396825396825397
20200722HTHH,HT,35,29,0,0.546875
20200725SSHT,HT,36,29,0,0.5538461538461539
20200726SSHT,HT,37,29,0,0.5606060606060606
20200730KTHT,HT,37,30,0,0.5522388059701493
20200731HTLT,HT,38,30,0,0.5588235294117647
20200801HTLT,HT,38,31,0,0.5507246376811594
20200802HTLT,HT,38,32,0,0.5428571428571428
20200804LGHT,HT,38,33,0,0.5352112676056338
20200805LGHT,HT,38,34,0,0.5277777777777778
20200806LGHT,HT,39,34,0,0.5342465753424658
20200808NCHT,HT,40,34,0,0.5405405405405406
20200809NCHT,HT,40,35,0,0.5333333333333333
20200811HTLG,HT,41,35,0,0.5394736842105263
20200812HTLG,HT,41,36,0,0.5324675324675324
20200813HTLG,HT,41,37,0,0.5256410256410257
20200814SKHT,HT,42,37,0,0.5316455696202531
20200815SKHT,HT,43,37,0,0.5375
20200816SKHT,HT,44,37,0,0.5432098765432098
20200818HTLG,HT,44,38,0,0.5365853658536586
20200819HTLG,HT,44,39,0,0.5301204819277109
20200820NCHT,HT,44,40,0,0.5238095238095238
20200821NCHT,HT,44,41,0,0.5176470588235295
20200822HTWO,HT,44,42,0,0.5116279069767442
20200823HTWO,HT,45,42,0,0.5172413793103449
20200825HTOB,HT,45,43,0,0.5113636363636364
20200826HTOB,HT,46,43,0,0.5168539325842697
20200827HTSK,HT,46,44,0,0.5111111111111111
20200828HTSK,HT,47,44,0,0.5164835164835165
20200830KTHT,HT,47,45,0,0.5108695652173914
20200830KTHT,HT,48,45,0,0.5161290322580645
20200901SSHT,HT,49,45,0,0.5212765957446809
20200903HTLT,HT,50,45,0,0.5263157894736842
20200904HTLT,HT,50,46,0,0.5208333333333334
20200904HTLT,HT,51,46,0,0.5257731958762887
20200905HTHH,HT,52,46,0,0.5306122448979592
20200906HTHH,HT,53,46,0,0.5353535353535354
20200908LGHT,HT,54,46,0,0.54
20200910OBHT,HT,54,47,0,0.5346534653465347
20200912HTNC,HT,55,47,0,0.5392156862745098
20200913HTNC,HT,56,47,0,0.5436893203883495
20200915SKHT,HT,56,48,0,0.5384615384615384
20200916SKHT,HT,56,49,0,0.5333333333333333
20200917HTSS,HT,57,49,0,0.5377358490566038
20200918HTSS,HT,58,49,0,0.5420560747663551
20200919HHHT,HT,59,49,0,0.5462962962962963
20200920HHHT,HT,59,50,0,0.5412844036697247
20200922WOHT,HT,59,51,0,0.5363636363636364
20200923WOHT,HT,59,52,0,0.5315315315315315
20200924HTKT,HT,60,52,0,0.5357142857142857
20200925HTKT,HT,60,53,0,0.5309734513274337
20200926LTHT,HT,60,54,0,0.5263157894736842
20200927LTHT,HT,61,54,0,0.5304347826086957
20200505OBLG,LG,1,0,0,1.0
20200506OBLG,LG,1,1,0,0.5
20200507OBLG,LG,1,2,0,0.3333333333333333
20200508LGNC,LG,1,3,0,0.25
20200510LGNC,LG,2,3,0,0.4
20200512SKLG,LG,3,3,0,0.5
20200513SKLG,LG,4,3,0,0.5714285714285714
20200514SKLG,LG,5,3,0,0.625
20200516WOLG,LG,6,3,0,0.6666666666666666
20200516WOLG,LG,7,3,0,0.7
20200517WOLG,LG,7,4,0,0.6363636363636364
20200519LGSS,LG,8,4,0,0.6666666666666666
20200520LGSS,LG,8,5,0,0.6153846153846154
20200521LGSS,LG,9,5,0,0.6428571428571429
20200522KTLG,LG,10,5,0,0.6666666666666666
20200523KTLG,LG,10,6,0,0.625
20200524KTLG,LG,11,6,0,0.6470588235294118
20200526LGHH,LG,12,6,0,0.6666666666666666
20200527LGHH,LG,13,6,0,0.6842105263157895
20200528LGHH,LG,14,6,0,0.7
20200529LGHT,LG,15,6,0,0.7142857142857143
20200530LGHT,LG,15,7,0,0.6818181818181818
20200531LGHT,LG,16,7,0,0.6956521739130435
20200602SSLG,LG,16,8,0,0.6666666666666666
20200603SSLG,LG,16,9,0,0.64
20200604SSLG,LG,17,9,0,0.6538461538461539
20200605LGWO,LG,17,10,0,0.6296296296296297
20200606LGWO,LG,17,11,0,0.6071428571428571
20200607LGWO,LG,18,11,0,0.6206896551724138
20200609SKLG,LG,18,12,0,0.6
20200611SKLG,LG,19,12,0,0.6129032258064516
20200611SKLG,LG,20,12,0,0.625
20200612LTLG,LG,21,12,0,0.6363636363636364
20200613LTLG,LG,21,13,0,0.6176470588235294
20200614LTLG,LG,22,13,0,0.6285714285714286
20200616LGHH,LG,23,13,0,0.6388888888888888
20200617LGHH,LG,24,13,0,0.6486486486486487
20200618LGHH,LG,25,13,0,0.6578947368421053
20200619OBLG,LG,25,14,0,0.6410256410256411
20200620OBLG,LG,25,15,0,0.625
20200621OBLG,LG,25,16,0,0.6097560975609756
20200623WOLG,LG,25,17,0,0.5952380952380952
20200625WOLG,LG,25,18,0,0.5813953488372093
20200625WOLG,LG,25,19,0,0.5681818181818182
20200626LGSK,LG,25,20,0,0.5555555555555556
20200627LGSK,LG,26,20,0,0.5652173913043478
20200628LGSK,LG,27,20,0,0.574468085106383
20200630KTLG,LG,28,20,0,0.5833333333333334
20200701KTLG,LG,28,21,0,0.5714285714285714
20200702KTLG,LG,28,22,0,0.56
20200703LGSS,LG,28,23,0,0.5490196078431373
20200704LGSS,LG,28,24,0,0.5384615384615384
20200705LGSS,LG,29,24,0,0.5471698113207547
20200707LGOB,LG,29,25,0,0.5370370370370371
20200708LGOB,LG,30,25,0,0.5454545454545454
20200709LGOB,LG,30,26,0,0.5357142857142857
20200710NCLG,LG,30,27,0,0.5263157894736842
20200711NCLG,LG,30,27,1,0.5263157894736842
20200714LGLT,LG,30,28,1,0.5172413793103449
20200715LGLT,LG,31,28,1,0.5254237288135594
20200716LGLT,LG,31,29,1,0.5166666666666667
20200717HHLG,LG,32,29,1,0.5245901639344263
20200718HHLG,LG,33,29,1,0.532258064516129
20200719HHLG,LG,34,29,1,0.5396825396825397
20200721LGKT,LG,34,30,1,0.53125
20200724LGOB,LG,35,30,1,0.5384615384615384
20200725LGOB,LG,35,31,1,0.5303030303030303
20200726LGOB,LG,36,31,1,0.5373134328358209
20200728LGSK,LG,37,31,1,0.5441176470588235
20200729LGSK,LG,38,31,1,0.5507246376811594
20200730LGSK,LG,39,31,1,0.5571428571428572
20200731HHLG,LG,39,32,1,0.5492957746478874
20200801HHLG,LG,40,32,1,0.5555555555555556
20200804LGHT,LG,41,32,1,0.5616438356164384
20200805LGHT,LG,42,32,1,0.5675675675675675
20200806LGHT,LG,42,33,1,0.56
20200807LGWO,LG,43,33,1,0.5657894736842105
20200808LGWO,LG,43,34,1,0.5584415584415584
20200809LGWO,LG,43,35,1,0.5512820512820513
20200811HTLG,LG,43,36,1,0.5443037974683544
20200812HTLG,LG,44,36,1,0.55
20200813HTLG,LG,45,36,1,0.5555555555555556
20200814LGNC,LG,46,36,1,0.5609756097560976
20200815LGNC,LG,47,36,1,0.5662650602409639
20200816LGNC,LG,48,36,1,0.5714285714285714
20200818HTLG,LG,49,36,1,0.5764705882352941
20200819HTLG,LG,50,36,1,0.5813953488372093
20200820LGWO,LG,50,37,1,0.5747126436781609
20200821LGWO,LG,51,37,1,0.5795454545454546
20200823HHLG,LG,51,38,1,0.5730337078651685
20200824HHLG,LG,51,39,1,0.5666666666666667
20200825LGSS,LG,51,40,1,0.5604395604395604
20200826LGSS,LG,52,40,1,0.5652173913043478
20200827KTLG,LG,53,40,1,0.5698924731182796
20200828KTLG,LG,54,40,1,0.574468085106383
20200829OBLG,LG,54,40,2,0.574468085106383
20200830OBLG,LG,55,40,2,0.5789473684210527
20200901LGSK,LG,56,40,2,0.5833333333333334
20200903NCLG,LG,57,40,2,0.5876288659793815
20200904NCLG,LG,57,40,3,0.5876288659793815
20200906LGLT,LG,58,40,3,0.5918367346938775
20200907LGLT,LG,58,41,3,0.5858585858585859
20200908LGHT,LG,58,42,3,0.58
20200910WOLG,LG,59,42,3,0.5841584158415841
20200911WOLG,LG,59,43,3,0.5784313725490197
20200912SSLG,LG,59,44,3,0.5728155339805825
20200913SSLG,LG,59,45,3,0.5673076923076923
20200915LGHH,LG,59,46,3,0.5619047619047619
20200916LGHH,LG,60,46,3,0.5660377358490566
20200917LTLG,LG,61,46,3,0.5700934579439252
20200918LTLG,LG,61,47,3,0.5648148148148148
20200919LGOB,LG,62,47,3,0.5688073394495413
20200920LGOB,LG,62,48,3,0.5636363636363636
20200922SKLG,LG,63,48,3,0.5675675675675675
20200923SKLG,LG,64,48,3,0.5714285714285714
20200924LGNC,LG,64,49,3,0.5663716814159292
20200925LGNC,LG,64,50,3,0.5614035087719298
20200926LGKT,LG,65,50,3,0.5652173913043478
20200927LGKT,LG,65,51,3,0.5603448275862069
20200505NCSS,SS,0,1,0,0.0
20200506NCSS,SS,0,2,0,0.0
20200507NCSS,SS,0,3,0,0.0
20200508HTSS,SS,1,3,0,0.25
20200509HTSS,SS,2,3,0,0.4
20200510HTSS,SS,2,4,0,0.3333333333333333
20200512SSWO,SS,2,5,0,0.2857142857142857
20200513SSWO,SS,3,5,0,0.375
20200514SSWO,SS,4,5,0,0.4444444444444444
20200515SSKT,SS,4,6,0,0.4
20200516SSKT,SS,4,7,0,0.36363636363636365
20200517SSKT,SS,4,8,0,0.3333333333333333
20200519LGSS,SS,4,9,0,0.3076923076923077
20200520LGSS,SS,5,9,0,0.35714285714285715
20200521LGSS,SS,5,10,0,0.3333333333333333
20200522OBSS,SS,5,11,0,0.3125
20200523OBSS,SS,5,12,0,0.29411764705882354
20200524OBSS,SS,6,12,0,0.3333333333333333
20200526SSLT,SS,6,13,0,0.3157894736842105
20200527SSLT,SS,7,13,0,0.35
20200528SSLT,SS,8,13,0,0.38095238095238093
20200529NCSS,SS,9,13,0,0.4090909090909091
20200530NCSS,SS,10,13,0,0.43478260869565216
20200531NCSS,SS,10,14,0,0.4166666666666667
20200602SSLG,SS,11,14,0,0.44
20200603SSLG,SS,12,14,0,0.46153846153846156
20200604SSLG,SS,12,15,0,0.4444444444444444
20200605SSSK,SS,12,16,0,0.42857142857142855
20200606SSSK,SS,12,17,0,0.41379310344827586
20200607SSSK,SS,13,17,0,0.43333333333333335
20200609WOSS,SS,13,18,0,0.41935483870967744
20200610WOSS,SS,14,18,0,0.4375
20200611WOSS,SS,15,18,0,0.45454545454545453
20200613KTSS,SS,16,18,0,0.47058823529411764
20200613KTSS,SS,16,19,0,0.45714285714285713
20200614KTSS,SS,17,19,0,0.4722222222222222
20200616SSOB,SS,18,19,0,0.4864864864864865
20200617SSOB,SS,19,19,0,0.5
20200618SSOB,SS,19,20,0,0.48717948717948717
20200619SSHT,SS,19,21,0,0.475
20200620SSHT,SS,19,22,0,0.4634146341463415
20200621SSHT,SS,20,22,0,0.47619047619047616
20200623HHSS,SS,21,22,0,0.4883720930232558
20200624HHSS,SS,22,22,0,0.5
20200625HHSS,SS,22,23,0,0.4888888888888889
20200626SSLT,SS,23,23,0,0.5
20200627SSLT,SS,24,23,0,0.5106382978723404
20200628SSLT,SS,24,24,0,0.5
20200630SKSS,SS,25,24,0,0.5102040816326531
20200701SKSS,SS,26,24,0,0.52
